ID,Name,Description,Contributor,Citation,Text_Number,Media_IDs,Clause_Count,Speaker,Speaker_Gender,Speaker_Age,Speaker_Age_Approximated,Speaker_Year_Born,Speaker_Year_Born_Approximated,Type,Year_Recorded,Recording_Length,Source
ajyuwa,ajyuwa,,Frank Seifart and Tai Hong,"Seifart, Frank & Hong, Tai. 2023. Multi-CAST Bora. In Haig, Geoffrey & Schnell, Stefan (eds.), Multi-CAST: Multilingual corpus of annotated spoken texts. Version 2311. Bamberg: University of Bamberg. (multicast.aspra.uni-bamberg.de/#bora) (date accessed)",1,jyuwa_mp3 jyuwa_wav jyuwa_eaf jyuwa_xml jyuwa_tsv,368,BR01,male,52,no,1953,no,TN,2005,2169.0,
meenujkatsi,meenujkatsi,,Frank Seifart and Tai Hong,"Seifart, Frank & Hong, Tai. 2023. Multi-CAST Bora. In Haig, Geoffrey & Schnell, Stefan (eds.), Multi-CAST: Multilingual corpus of annotated spoken texts. Version 2311. Bamberg: University of Bamberg. (multicast.aspra.uni-bamberg.de/#bora) (date accessed)",2,eenujkatsi_mp3 eenujkatsi_wav eenujkatsi_eaf eenujkatsi_xml eenujkatsi_tsv,102,BR02,female,50,no,1954,no,TN,2004,726.2,
