ID,Name,Macroarea,Latitude,Longitude,Glottocode,ISO639P3code,Affiliation,Areas,Varieties
mcbora,Bora,South America,-2.000259,-72.257066,bora1263,,Boran,"southern Colombia, northern Peru",Bora
en,English,,,,stan1293,,,,
